date,temperature,energy_demand
2018-01-01 00:00:00,-16.9,5340
2018-01-01 01:00:00,-16.3,5211
2018-01-01 02:00:00,-17.6,5096
2018-01-01 03:00:00,-18.6,4987
2018-01-01 04:00:00,-17.8,4926
2018-01-01 05:00:00,-17.1,4944
2018-01-01 06:00:00,-15.7,5031
2018-01-01 07:00:00,-13.9,5142
2018-01-01 08:00:00,-13.9,5186
2018-01-01 09:00:00,-13.7,5345
2018-01-01 10:00:00,-11.3,5504
2018-01-01 11:00:00,-9.3,5554
2018-01-01 12:00:00,-9.5,5622
2018-01-01 13:00:00,-8.6,5651
2018-01-01 14:00:00,-8.2,5740
2018-01-01 15:00:00,-8.9,5771
2018-01-01 16:00:00,-9.6,5976
2018-01-01 17:00:00,-10.8,6509
2018-01-01 18:00:00,-11.4,6594
2018-01-01 19:00:00,-12.3,6439
2018-01-01 20:00:00,-12.3,6250
2018-01-01 21:00:00,-12.5,6037
2018-01-01 22:00:00,-13.0,5735
2018-01-01 23:00:00,-12.6,5438
2018-01-02 00:00:00,-13.1,5199
2018-01-02 01:00:00,-12.5,5037
2018-01-02 02:00:00,-10.2,4940
2018-01-02 03:00:00,-10.0,4900
2018-01-02 04:00:00,-9.9,4903
2018-01-02 05:00:00,-9.4,5152
2018-01-02 06:00:00,-8.8,5558
2018-01-02 07:00:00,-8.8,6052
2018-01-02 08:00:00,-9.9,6301
2018-01-02 09:00:00,-10.5,6503
2018-01-02 10:00:00,-10.9,6666
2018-01-02 11:00:00,-9.7,6751
2018-01-02 12:00:00,-8.9,6758
2018-01-02 13:00:00,-7.7,6723
2018-01-02 14:00:00,-7.3,6663
2018-01-02 15:00:00,-7.2,6636
2018-01-02 16:00:00,-7.2,6747
2018-01-02 17:00:00,-8.1,7041
2018-01-02 18:00:00,-9.2,7019
2018-01-02 19:00:00,-9.3,6917
2018-01-02 20:00:00,-9.3,6807
2018-01-02 21:00:00,-9.8,6583
2018-01-02 22:00:00,-10.0,6224
2018-01-02 23:00:00,-10.4,5824
2018-01-03 00:00:00,-10.8,5484
2018-01-03 01:00:00,-10.8,5284
2018-01-03 02:00:00,-10.9,5157
2018-01-03 03:00:00,-11.0,5115
2018-01-03 04:00:00,-10.3,5110
2018-01-03 05:00:00,-9.8,5276
2018-01-03 06:00:00,-9.4,5675
2018-01-03 07:00:00,-8.9,6183
2018-01-03 08:00:00,-9.5,6393
2018-01-03 09:00:00,-8.8,6524
2018-01-03 10:00:00,-7.2,6588
2018-01-03 11:00:00,-6.8,6650
2018-01-03 12:00:00,-6.3,6636
2018-01-03 13:00:00,-5.8,6674
2018-01-03 14:00:00,-5.6,6648
2018-01-03 15:00:00,-5.6,6678
2018-01-03 16:00:00,-5.5,6787
2018-01-03 17:00:00,-5.6,7044
2018-01-03 18:00:00,-6.2,7034
2018-01-03 19:00:00,-6.5,6949
2018-01-03 20:00:00,-7.0,6822
2018-01-03 21:00:00,-7.9,6586
2018-01-03 22:00:00,-8.0,6217
2018-01-03 23:00:00,-8.2,5783
2018-01-04 00:00:00,-8.0,5425
2018-01-04 01:00:00,-7.9,5218
2018-01-04 02:00:00,-8.2,5109
2018-01-04 03:00:00,-8.4,5043
2018-01-04 04:00:00,-8.0,5044
2018-01-04 05:00:00,-8.0,5214
2018-01-04 06:00:00,-7.8,5613
2018-01-04 07:00:00,-9.3,6085
2018-01-04 08:00:00,-10.4,6368
2018-01-04 09:00:00,-11.3,6524
2018-01-04 10:00:00,-11.0,6573
2018-01-04 11:00:00,-10.6,6695
2018-01-04 12:00:00,-11.2,6706
2018-01-04 13:00:00,-11.1,6736
2018-01-04 14:00:00,-11.3,6663
2018-01-04 15:00:00,-11.6,6658
2018-01-04 16:00:00,-12.2,6770
2018-01-04 17:00:00,-13.1,7091
2018-01-04 18:00:00,-13.8,7164
2018-01-04 19:00:00,-15.4,7128
2018-01-04 20:00:00,-16.5,7032
2018-01-04 21:00:00,-17.2,6857
2018-01-04 22:00:00,-18.0,6586
2018-01-04 23:00:00,-18.6,6215
2018-01-05 00:00:00,-19.1,5890
2018-01-05 01:00:00,-19.7,5639
2018-01-05 02:00:00,-19.9,5559
2018-01-05 03:00:00,-20.1,5492
2018-01-05 04:00:00,-20.2,5509
2018-01-05 05:00:00,-20.4,5670
2018-01-05 06:00:00,-20.1,6093
2018-01-05 07:00:00,-20.3,6558
2018-01-05 08:00:00,-20.4,6781
2018-01-05 09:00:00,-19.8,6884
2018-01-05 10:00:00,-18.9,7026
2018-01-05 11:00:00,-17.7,7103
2018-01-05 12:00:00,-17.6,7092
2018-01-05 13:00:00,-16.6,7062
2018-01-05 14:00:00,-15.7,7002
2018-01-05 15:00:00,-15.2,6962
2018-01-05 16:00:00,-15.4,7007
2018-01-05 17:00:00,-15.4,7253
2018-01-05 18:00:00,-16.0,7234
2018-01-05 19:00:00,-16.7,7162
2018-01-05 20:00:00,-16.3,7071
2018-01-05 21:00:00,-16.1,6871
2018-01-05 22:00:00,-16.9,6583
2018-01-05 23:00:00,-17.3,6173
2018-01-06 00:00:00,-19.3,5844
2018-01-06 01:00:00,-19.8,5609
2018-01-06 02:00:00,-20.3,5437
2018-01-06 03:00:00,-20.7,5366
2018-01-06 04:00:00,-21.1,5350
2018-01-06 05:00:00,-21.4,5412
2018-01-06 06:00:00,-21.7,5575
2018-01-06 07:00:00,-22.1,5789
2018-01-06 08:00:00,-22.2,5959
2018-01-06 09:00:00,-21.6,6191
2018-01-06 10:00:00,-20.7,6359
2018-01-06 11:00:00,-19.2,6457
2018-01-06 12:00:00,-18.6,6475
2018-01-06 13:00:00,-17.6,6438
2018-01-06 14:00:00,-16.6,6391
2018-01-06 15:00:00,-16.3,6384
2018-01-06 16:00:00,-15.6,6493
2018-01-06 17:00:00,-15.7,6919
2018-01-06 18:00:00,-16.1,7094
2018-01-06 19:00:00,-16.2,6968
2018-01-06 20:00:00,-16.5,6673
2018-01-06 21:00:00,-17.1,6516
2018-01-06 22:00:00,-17.4,6254
2018-01-06 23:00:00,-17.4,5954
2018-01-07 00:00:00,-17.4,5689
2018-01-07 01:00:00,-17.5,5499
2018-01-07 02:00:00,-16.3,5344
2018-01-07 03:00:00,-15.8,5256
2018-01-07 04:00:00,-16.0,5203
2018-01-07 05:00:00,-15.9,5219
2018-01-07 06:00:00,-14.5,5319
2018-01-07 07:00:00,-14.1,5455
2018-01-07 08:00:00,-13.2,5621
2018-01-07 09:00:00,-11.6,5888
2018-01-07 10:00:00,-10.9,6095
2018-01-07 11:00:00,-10.2,6286
2018-01-07 12:00:00,-9.4,6387
2018-01-07 13:00:00,-8.6,6394
2018-01-07 14:00:00,-8.1,6375
2018-01-07 15:00:00,-7.7,6379
2018-01-07 16:00:00,-7.3,6530
2018-01-07 17:00:00,-6.4,6862
2018-01-07 18:00:00,-6.4,7084
2018-01-07 19:00:00,-5.7,6952
2018-01-07 20:00:00,-4.9,6487
2018-01-07 21:00:00,-4.0,6233
2018-01-07 22:00:00,-3.0,5939
2018-01-07 23:00:00,-2.5,5575
2018-01-08 00:00:00,-1.9,5259
2018-01-08 01:00:00,-1.1,5074
2018-01-08 02:00:00,-1.4,4983
2018-01-08 03:00:00,-1.6,4950
2018-01-08 04:00:00,-1.5,4981
